"face_id","college_name","session_number","zone","emotion","confidence","created_at","position.x1","position.y1","position.x2","position.y2","position.center_x","position.center_y","pose.pitch","pose.yaw","pose.roll","pose.confidence"
face_IITDelhi_1_25,IIT Delhi,1,right,happy,0.95,2024-12-29 10:17:00,643,330,766,491,704,410,1.8,32.11,0.76,0.93
face_IITDelhi_1_26,IIT Delhi,1,left,neutral,0.96,2024-12-29 09:40:00,407,388,545,560,476,474,8.05,-4.99,-4.28,0.99
face_IITDelhi_1_27,IIT Delhi,1,center,happy,0.9,2024-12-29 10:23:00,246,356,382,511,314,433,-7.02,-8.83,-3.04,0.94
face_IITDelhi_1_28,IIT Delhi,1,left,neutral,0.87,2024-12-29 09:59:00,196,254,343,429,269,341,12.96,24.94,0.57,0.98
face_IITDelhi_1_29,IIT Delhi,1,center,sad,0.95,2024-12-29 10:19:00,552,200,661,356,606,278,5.88,5.9,1.98,0.96
face_IITDelhi_1_30,IIT Delhi,1,left,neutral,0.99,2024-12-29 10:08:00,706,120,836,287,771,203,24.42,-18.19,8.01,0.93
face_IITDelhi_1_31,IIT Delhi,1,center,neutral,0.92,2024-12-29 09:24:00,166,393,276,515,221,454,7.93,12.92,0.83,0.93
face_IITDelhi_1_32,IIT Delhi,1,left,surprise,0.86,2024-12-29 09:58:00,570,296,673,445,621,370,-7.59,3.37,-11.89,0.93
face_IITDelhi_1_33,IIT Delhi,1,right,happy,0.9,2024-12-29 09:45:00,726,280,844,406,785,343,-6.61,2.59,-3.11,0.94
face_IITDelhi_1_34,IIT Delhi,1,center,neutral,0.92,2024-12-29 09:00:00,266,259,387,398,326,328,-6.62,-6.61,6.41,0.92
face_IITDelhi_1_35,IIT Delhi,1,right,neutral,0.89,2024-12-29 10:20:00,103,293,240,466,171,379,12.31,-0.02,-3.02,0.93
face_IITDelhi_1_36,IIT Delhi,1,center,sad,0.98,2024-12-29 10:18:00,369,178,489,337,429,257,8.58,-3.32,-1.3,0.94
face_IITDelhi_1_37,IIT Delhi,1,left,neutral,0.86,2024-12-29 09:58:00,342,336,473,462,407,399,8.97,9.5,-12.83,0.97
face_IITDelhi_1_38,IIT Delhi,1,left,fear,0.87,2024-12-29 09:56:00,382,203,505,368,443,285,-8.85,-12.52,4.46,0.91
face_IITDelhi_1_39,IIT Delhi,1,center,happy,0.98,2024-12-29 09:26:00,221,323,337,486,279,404,-3.21,-0.94,-7.11,0.98
face_IITDelhi_1_40,IIT Delhi,1,left,neutral,0.96,2024-12-29 10:04:00,663,313,778,487,720,400,16.47,4.68,4.04,0.99
face_IITDelhi_1_41,IIT Delhi,1,center,happy,0.91,2024-12-29 10:09:00,348,349,487,498,417,423,18.14,5.97,3.5,0.96
face_IITDelhi_1_42,IIT Delhi,1,center,neutral,0.93,2024-12-29 10:08:00,231,183,376,353,303,268,-3.67,-5.06,6.39,0.92
face_IITDelhi_1_43,IIT Delhi,1,right,neutral,0.87,2024-12-29 09:12:00,534,277,640,403,587,340,-2.93,0.45,-0.32,0.91
face_IITDelhi_1_44,IIT Delhi,1,center,happy,0.89,2024-12-29 10:26:00,508,215,631,372,569,293,-10.48,-2.32,-0.63,0.91
face_IITDelhi_1_45,IIT Delhi,1,right,sad,0.89,2024-12-29 10:05:00,696,149,831,318,763,233,15.63,-22.05,3.27,0.92
face_IITDelhi_1_46,IIT Delhi,1,center,fear,0.88,2024-12-29 10:10:00,358,192,471,318,414,255,14.76,-3.41,-3.83,0.92
face_IITDelhi_1_47,IIT Delhi,1,left,angry,0.88,2024-12-29 09:36:00,400,381,530,529,465,455,-6.61,-3.3,-6.01,0.97
face_IITDelhi_1_48,IIT Delhi,1,right,surprise,0.91,2024-12-29 09:22:00,569,367,714,545,641,456,9.39,-16.27,-5.93,0.92
face_IITDelhi_1_49,IIT Delhi,1,center,angry,0.97,2024-12-29 10:25:00,325,314,457,480,391,397,17.54,17.44,1.4,0.96
face_IITDelhi_1_50,IIT Delhi,1,left,surprise,0.92,2024-12-29 10:11:00,324,117,449,262,386,189,10.62,-11.11,4.27,0.91
face_IITDelhi_1_51,IIT Delhi,1,center,neutral,0.99,2024-12-29 10:20:00,115,332,229,489,172,410,15.8,2.91,-9.94,0.97
face_IITDelhi_1_52,IIT Delhi,1,left,neutral,0.91,2024-12-29 10:17:00,643,257,780,417,711,337,-3.04,-3.93,5.95,1
face_IITDelhi_1_53,IIT Delhi,1,left,disgust,1,2024-12-29 09:55:00,476,202,594,360,535,281,12.56,-7.84,6.42,0.92
face_IITDelhi_1_54,IIT Delhi,1,left,surprise,0.86,2024-12-29 09:53:00,596,133,725,271,660,202,-5.72,13.07,1.29,0.94
face_IITDelhi_1_55,IIT Delhi,1,center,happy,0.87,2024-12-29 10:10:00,190,139,322,280,256,209,17.61,-33.05,-5.62,0.92
face_IITDelhi_1_56,IIT Delhi,1,center,angry,0.87,2024-12-29 09:49:00,109,224,219,385,164,304,3.44,-12.96,1.83,0.96
face_IITDelhi_1_57,IIT Delhi,1,right,neutral,0.87,2024-12-29 09:20:00,748,355,895,524,821,439,18.73,15.62,-2.57,0.94
face_IITDelhi_1_58,IIT Delhi,1,right,happy,0.97,2024-12-29 09:36:00,129,146,253,316,191,231,-5.27,7.16,0.36,0.97
face_IITDelhi_1_59,IIT Delhi,1,center,happy,1,2024-12-29 09:16:00,232,132,335,269,283,200,-12.81,-15.49,-1.69,0.94
face_IITDelhi_1_60,IIT Delhi,1,right,neutral,0.9,2024-12-29 10:13:00,108,144,254,273,181,208,20.73,-19.76,2.61,0.99
face_IITDelhi_1_61,IIT Delhi,1,right,happy,0.88,2024-12-29 10:08:00,449,371,579,517,514,444,-6.93,-17.36,-4.56,0.97
face_IITDelhi_1_62,IIT Delhi,1,center,disgust,0.98,2024-12-29 09:52:00,253,380,362,556,307,468,7.12,-6.23,-8.84,0.92
face_IITDelhi_1_63,IIT Delhi,1,center,happy,0.93,2024-12-29 10:13:00,358,292,492,429,425,360,10.26,13.78,-1.46,0.93
face_IITDelhi_1_64,IIT Delhi,1,right,fear,0.86,2024-12-29 10:21:00,590,273,701,404,645,338,-1.63,-12.75,0.48,0.96
face_IITDelhi_1_65,IIT Delhi,1,left,neutral,0.97,2024-12-29 09:11:00,617,241,717,408,667,324,10.3,17.6,1.34,0.95
face_IITDelhi_1_66,IIT Delhi,1,left,happy,0.87,2024-12-29 09:21:00,727,296,874,465,800,380,6.46,-2.64,2.44,0.99
face_IITDelhi_1_67,IIT Delhi,1,left,neutral,0.87,2024-12-29 10:25:00,449,326,566,485,507,405,-13.05,1.28,-0.95,0.94
face_IITDelhi_1_68,IIT Delhi,1,left,neutral,0.97,2024-12-29 10:10:00,494,343,612,482,553,412,22.27,-10.64,-3.17,0.94
face_IITDelhi_1_69,IIT Delhi,1,right,surprise,0.99,2024-12-29 10:14:00,612,331,716,480,664,405,3.51,3.88,6.78,0.99
face_IITDelhi_1_70,IIT Delhi,1,center,neutral,0.91,2024-12-29 09:22:00,335,154,466,287,400,220,14.75,8.37,-6.26,1
face_IITDelhi_1_71,IIT Delhi,1,left,neutral,0.98,2024-12-29 09:13:00,225,293,343,448,284,370,-0.47,-3.18,0.81,0.95
face_IITDelhi_1_72,IIT Delhi,1,left,happy,0.89,2024-12-29 09:52:00,689,140,835,265,762,202,-4.69,-6.96,-4.05,0.94
face_IITDelhi_1_73,IIT Delhi,1,center,neutral,1,2024-12-29 09:11:00,260,237,381,367,320,302,7.71,4.62,-0.98,0.93
face_IITDelhi_1_74,IIT Delhi,1,right,neutral,0.96,2024-12-29 09:48:00,430,300,573,472,501,386,16.7,7.41,-2.88,0.92
face_IITDelhi_1_75,IIT Delhi,1,left,neutral,0.97,2024-12-29 10:22:00,227,146,351,291,289,218,-6.23,-5.74,-11.53,0.98
face_IITDelhi_1_76,IIT Delhi,1,right,fear,0.87,2024-12-29 10:20:00,285,268,434,439,359,353,14.66,23.6,-0.69,0.92
face_IITDelhi_1_77,IIT Delhi,1,left,neutral,0.85,2024-12-29 09:51:00,310,290,440,440,375,365,2.4,18.66,11.94,0.97
face_IITDelhi_1_78,IIT Delhi,1,left,sad,0.91,2024-12-29 09:47:00,237,328,353,476,295,402,-1.96,20,6.8,0.96
face_IITDelhi_1_79,IIT Delhi,1,left,happy,0.98,2024-12-29 10:26:00,404,265,530,391,467,328,16.18,1.2,2.56,0.93
face_IITDelhi_1_80,IIT Delhi,1,left,neutral,0.94,2024-12-29 10:08:00,407,315,543,470,475,392,17.88,2.13,0.46,0.93
face_IITDelhi_1_81,IIT Delhi,1,right,neutral,0.88,2024-12-29 09:32:00,319,388,466,548,392,468,-7.36,-11.96,-1.21,1
face_IITDelhi_1_82,IIT Delhi,1,center,neutral,0.87,2024-12-29 10:14:00,176,233,286,386,231,309,-8.68,11.61,3.38,0.98
face_IITDelhi_1_83,IIT Delhi,1,center,neutral,0.95,2024-12-29 09:53:00,137,152,258,289,197,220,7.58,-18.81,5.12,0.94
face_IITDelhi_1_84,IIT Delhi,1,center,sad,0.94,2024-12-29 09:58:00,226,359,341,531,283,445,12.47,-9.3,1.95,0.99
face_IITDelhi_1_85,IIT Delhi,1,right,fear,0.96,2024-12-29 09:04:00,371,253,500,413,435,333,5.45,18.13,-2.89,0.95
face_IITDelhi_1_86,IIT Delhi,1,center,neutral,0.95,2024-12-29 10:03:00,583,301,714,422,648,361,10.73,13.81,5.02,0.9
face_IITDelhi_1_87,IIT Delhi,1,left,angry,0.96,2024-12-29 09:38:00,394,276,532,424,463,350,5.42,33.56,-7.96,0.94
face_IITDelhi_1_88,IIT Delhi,1,center,neutral,0.85,2024-12-29 09:41:00,432,128,541,264,486,196,-2.47,-3.04,1.29,0.92
face_IITDelhi_1_89,IIT Delhi,1,center,neutral,0.91,2024-12-29 09:54:00,645,152,776,300,710,226,6.51,3.86,-2.8,0.95
face_IITDelhi_1_90,IIT Delhi,1,center,happy,0.87,2024-12-29 10:15:00,217,298,359,442,288,370,5.95,-12.86,-5.42,0.95
face_IITDelhi_1_91,IIT Delhi,1,left,happy,0.97,2024-12-29 10:20:00,746,371,886,494,816,432,11.9,-25.73,0.04,0.93
face_IITDelhi_1_92,IIT Delhi,1,right,neutral,0.98,2024-12-29 10:15:00,695,106,803,235,749,170,1.73,-16.1,-4.76,0.96
face_IITDelhi_1_93,IIT Delhi,1,right,disgust,0.87,2024-12-29 10:26:00,523,173,651,334,587,253,17.35,-8.69,4.7,0.9
face_IITDelhi_1_94,IIT Delhi,1,right,neutral,0.89,2024-12-29 09:09:00,701,164,823,334,762,249,-7.44,-9.15,-2.23,0.99
face_IITDelhi_1_95,IIT Delhi,1,right,happy,0.99,2024-12-29 10:18:00,465,171,608,310,536,240,19.15,1.1,0.07,0.96
face_IITDelhi_1_96,IIT Delhi,1,center,neutral,0.99,2024-12-29 09:55:00,311,340,436,464,373,402,13.11,4.03,4.06,0.95
face_IITDelhi_1_97,IIT Delhi,1,right,neutral,0.88,2024-12-29 10:11:00,714,321,855,493,784,407,-1.42,2.24,-7.18,0.97
face_IITDelhi_1_98,IIT Delhi,1,left,neutral,0.89,2024-12-29 10:06:00,313,313,423,490,368,401,-7.89,16.6,0.38,1
face_IITDelhi_1_99,IIT Delhi,1,center,sad,0.95,2024-12-29 09:48:00,408,234,545,360,476,297,-10.09,3.8,7.29,0.95
face_IITDelhi_1_100,IIT Delhi,1,left,happy,0.93,2024-12-29 09:32:00,509,109,640,234,574,171,-10.84,-33.25,-1.19,0.95
face_IITDelhi_1_101,IIT Delhi,1,center,neutral,0.93,2024-12-29 09:05:00,613,127,736,298,674,212,10.51,23.68,5.86,0.99
face_IITDelhi_1_102,IIT Delhi,1,center,happy,0.97,2024-12-29 09:32:00,160,144,291,271,225,207,-7.04,12.21,-3.06,0.95
face_IITDelhi_1_103,IIT Delhi,1,center,happy,0.93,2024-12-29 09:04:00,186,219,317,395,251,307,1.1,15.4,5.02,1
face_IITDelhi_1_104,IIT Delhi,1,center,angry,0.96,2024-12-29 10:10:00,787,293,929,416,858,354,0.32,-0.21,5.61,0.98
face_IITDelhi_1_105,IIT Delhi,1,center,neutral,0.86,2024-12-29 10:17:00,444,142,562,288,503,215,11.5,-19.98,3.68,0.98
face_IITDelhi_1_106,IIT Delhi,1,center,neutral,0.94,2024-12-29 09:49:00,464,193,587,345,525,269,-7.46,-11.15,4.9,0.94
face_IITDelhi_1_107,IIT Delhi,1,center,neutral,0.9,2024-12-29 09:20:00,587,242,716,382,651,312,-0.47,1.92,8.01,0.93
face_IITDelhi_1_108,IIT Delhi,1,left,neutral,0.97,2024-12-29 09:15:00,378,219,499,373,438,296,19.4,6.04,-3.56,0.98
face_IITDelhi_1_109,IIT Delhi,1,center,fear,0.96,2024-12-29 09:47:00,503,258,629,424,566,341,4.33,9.71,-2.54,0.9
face_IITDelhi_1_110,IIT Delhi,1,right,neutral,0.99,2024-12-29 09:40:00,536,127,681,251,608,189,-5.1,-11.61,-0.37,0.97
face_IITDelhi_1_111,IIT Delhi,1,right,angry,0.92,2024-12-29 10:14:00,769,312,907,447,838,379,24.63,2.23,-5.94,0.93
face_IITDelhi_1_112,IIT Delhi,1,center,neutral,0.99,2024-12-29 09:03:00,265,263,378,389,321,326,14.02,0.22,7.99,0.95
face_IITDelhi_1_113,IIT Delhi,1,center,neutral,0.87,2024-12-29 09:39:00,605,124,731,251,668,187,0.46,12.14,4.12,0.92
face_IITDelhi_1_114,IIT Delhi,1,center,neutral,0.95,2024-12-29 09:38:00,186,338,304,471,245,404,3.88,13.04,5.57,0.96
face_IITDelhi_1_115,IIT Delhi,1,center,neutral,0.89,2024-12-29 09:34:00,332,145,444,318,388,231,11.09,-16.29,10.99,0.92
face_IITDelhi_1_116,IIT Delhi,1,center,neutral,0.98,2024-12-29 09:53:00,780,289,902,442,841,365,-9.84,5.3,-10.95,0.97
face_IITDelhi_1_117,IIT Delhi,1,left,happy,0.89,2024-12-29 09:06:00,601,267,727,392,664,329,12.53,-28.68,0.46,0.95
face_IITDelhi_1_118,IIT Delhi,1,left,neutral,0.97,2024-12-29 09:49:00,140,127,282,296,211,211,-0.2,-35.08,9.63,0.99
face_IITDelhi_1_119,IIT Delhi,1,center,surprise,0.94,2024-12-29 09:00:00,171,349,313,487,242,418,-0.33,3.33,-4.08,0.99
face_IITDelhi_2_1,IIT Delhi,2,left,neutral,0.89,2024-12-29 10:49:00,293,162,434,296,363,229,-18.12,-10.72,-2.06,0.92
face_IITDelhi_2_2,IIT Delhi,2,left,angry,1,2024-12-29 12:11:00,658,300,765,457,711,378,-3.74,36.73,2.25,0.93
face_IITDelhi_2_3,IIT Delhi,2,center,neutral,0.93,2024-12-29 11:04:00,125,398,228,562,176,480,5.82,-11.15,7.33,0.92
face_IITDelhi_2_4,IIT Delhi,2,left,angry,0.97,2024-12-29 11:18:00,650,278,780,456,715,367,12.15,0.06,-11.62,0.99
face_IITDelhi_2_5,IIT Delhi,2,center,sad,0.89,2024-12-29 11:36:00,119,115,244,284,181,199,-4.11,7.83,-3.92,0.94
face_IITDelhi_2_6,IIT Delhi,2,center,neutral,0.9,2024-12-29 11:44:00,676,208,806,383,741,295,-0,7.3,6.04,0.93
face_IITDelhi_2_7,IIT Delhi,2,left,sad,0.9,2024-12-29 12:03:00,397,362,532,491,464,426,6.62,-4.6,7.42,0.94
face_IITDelhi_2_8,IIT Delhi,2,right,happy,0.95,2024-12-29 11:41:00,105,229,247,374,176,301,6.6,-12.75,-5.55,0.98
face_IITDelhi_2_9,IIT Delhi,2,center,happy,0.91,2024-12-29 11:35:00,503,157,604,286,553,221,-1.6,1.3,3.08,0.94
face_IITDelhi_2_10,IIT Delhi,2,center,neutral,0.97,2024-12-29 12:12:00,597,234,746,385,671,309,-9.62,2.63,1.89,0.92
face_IITDelhi_2_11,IIT Delhi,2,left,happy,0.9,2024-12-29 11:19:00,559,231,663,386,611,308,5.54,12.28,-3.2,0.92
face_IITDelhi_2_12,IIT Delhi,2,left,sad,0.99,2024-12-29 11:31:00,111,275,253,439,182,357,14.84,-6.11,-4.41,0.93
face_IITDelhi_2_13,IIT Delhi,2,center,disgust,1,2024-12-29 11:15:00,556,257,702,424,629,340,13.04,21.83,4.69,0.99
face_IITDelhi_2_14,IIT Delhi,2,right,angry,0.89,2024-12-29 12:13:00,384,263,499,392,441,327,0.94,3.69,-3.33,0.94
face_IITDelhi_2_15,IIT Delhi,2,right,neutral,0.9,2024-12-29 11:26:00,546,333,657,491,601,412,26.63,-19.88,-1.37,0.96
face_IITDelhi_2_16,IIT Delhi,2,left,happy,0.99,2024-12-29 10:50:00,147,356,266,515,206,435,0.2,7.48,13.68,0.99
face_IITDelhi_2_17,IIT Delhi,2,right,neutral,0.88,2024-12-29 11:06:00,269,243,399,402,334,322,-8.81,33.94,12.2,0.97
face_IITDelhi_2_18,IIT Delhi,2,center,neutral,0.93,2024-12-29 10:51:00,669,295,815,448,742,371,-1.38,-16.78,2.84,0.95
face_IITDelhi_2_19,IIT Delhi,2,left,neutral,0.91,2024-12-29 11:39:00,121,168,246,343,183,255,13.91,-8.55,-4.86,0.98
face_IITDelhi_2_20,IIT Delhi,2,center,happy,0.94,2024-12-29 11:31:00,334,382,455,505,394,443,13.28,-2.77,0.86,0.95
face_IITDelhi_2_21,IIT Delhi,2,left,neutral,0.98,2024-12-29 11:57:00,469,389,581,550,525,469,16.64,-0.31,7.19,0.92
face_IITDelhi_2_22,IIT Delhi,2,left,sad,0.86,2024-12-29 11:54:00,765,278,911,444,838,361,-10.2,20.72,-6.21,0.99
face_IITDelhi_2_23,IIT Delhi,2,left,neutral,0.95,2024-12-29 11:59:00,603,143,706,264,654,203,9.01,-2.37,-1.51,0.91
face_IITDelhi_2_24,IIT Delhi,2,right,neutral,0.97,2024-12-29 11:45:00,184,123,305,260,244,191,6.04,-6.52,-0.99,0.98
face_IITDelhi_2_25,IIT Delhi,2,left,neutral,0.85,2024-12-29 12:14:00,597,119,742,252,669,185,0.34,5.42,-2.54,0.94
face_IITDelhi_2_26,IIT Delhi,2,center,sad,0.96,2024-12-29 10:54:00,474,153,622,293,548,223,25.86,-9.36,-1.24,0.98
face_IITDelhi_2_27,IIT Delhi,2,center,neutral,0.94,2024-12-29 11:50:00,638,369,778,538,708,453,-8.42,-14.3,5.25,0.97
face_IITDelhi_2_28,IIT Delhi,2,left,happy,0.87,2024-12-29 11:59:00,617,225,755,397,686,311,-5.08,-4.34,6.61,0.97
face_IITDelhi_2_29,IIT Delhi,2,center,happy,0.85,2024-12-29 12:05:00,130,330,258,503,194,416,9.55,-2.24,4.45,0.96
face_IITDelhi_2_30,IIT Delhi,2,right,happy,0.95,2024-12-29 10:46:00,736,194,858,341,797,267,3.29,-19.06,5.94,0.91
face_IITDelhi_2_31,IIT Delhi,2,center,happy,0.89,2024-12-29 12:14:00,244,369,387,529,315,449,15.36,-18.41,6.99,0.96
face_IITDelhi_2_32,IIT Delhi,2,left,neutral,0.86,2024-12-29 12:10:00,613,148,727,291,670,219,13.2,-4.57,-1.11,0.91
face_IITDelhi_2_33,IIT Delhi,2,center,fear,0.87,2024-12-29 11:00:00,530,165,678,337,604,251,-11.11,-11.62,-2.09,0.95
face_IITDelhi_2_34,IIT Delhi,2,center,fear,1,2024-12-29 11:30:00,100,229,219,353,159,291,3.46,-1.3,2.11,0.97
face_IITDelhi_2_35,IIT Delhi,2,left,happy,0.98,2024-12-29 11:49:00,600,250,731,389,665,319,21.2,22.3,-2.89,0.95
face_IITDelhi_2_36,IIT Delhi,2,left,neutral,0.86,2024-12-29 12:12:00,628,326,761,483,694,404,0.76,5.12,7.42,0.97
face_IITDelhi_2_37,IIT Delhi,2,right,surprise,0.87,2024-12-29 11:55:00,728,303,845,474,786,388,6.34,31.59,-2.36,0.97
face_IITDelhi_2_38,IIT Delhi,2,center,neutral,0.87,2024-12-29 10:56:00,245,276,365,422,305,349,-21.22,16.87,4.03,0.95
face_IITDelhi_2_39,IIT Delhi,2,left,angry,0.87,2024-12-29 12:11:00,557,285,665,421,611,353,19.25,11.61,-3.1,0.95
face_IITDelhi_2_40,IIT Delhi,2,right,happy,0.92,2024-12-29 11:42:00,219,378,345,553,282,465,-11.37,-12.22,5.82,0.98
face_IITDelhi_2_41,IIT Delhi,2,left,surprise,0.9,2024-12-29 10:53:00,116,122,241,269,178,195,-11.81,-10.47,-8.56,0.96
face_IITDelhi_2_42,IIT Delhi,2,left,happy,0.89,2024-12-29 10:48:00,277,379,377,513,327,446,1.96,-21.76,-8.21,0.97
face_IITDelhi_2_43,IIT Delhi,2,left,disgust,0.95,2024-12-29 11:41:00,282,181,396,320,339,250,7.78,-1.11,-5.41,0.99
face_IITDelhi_2_44,IIT Delhi,2,left,angry,0.95,2024-12-29 11:22:00,398,260,524,436,461,348,3.52,19.38,3.85,0.91
face_IITDelhi_2_45,IIT Delhi,2,right,sad,0.97,2024-12-29 10:52:00,497,213,631,372,564,292,7.39,-32.12,-7.23,0.98
face_IITDelhi_2_46,IIT Delhi,2,left,happy,0.85,2024-12-29 11:45:00,542,200,644,372,593,286,13.51,21.16,4.38,0.94
face_IITDelhi_2_47,IIT Delhi,2,left,neutral,0.98,2024-12-29 10:48:00,331,186,471,339,401,262,9.28,-14.66,-0.64,0.92
face_IITDelhi_2_48,IIT Delhi,2,right,neutral,0.97,2024-12-29 11:26:00,249,301,378,467,313,384,-7.53,5.73,3.18,0.98
face_IITDelhi_2_49,IIT Delhi,2,right,happy,0.95,2024-12-29 11:22:00,614,288,755,436,684,362,7.52,0.8,-3.37,0.94
face_IITDelhi_2_50,IIT Delhi,2,left,happy,0.88,2024-12-29 10:51:00,553,390,695,527,624,458,-2.76,-21.38,-8.05,0.96
face_IITDelhi_2_51,IIT Delhi,2,left,happy,0.96,2024-12-29 11:01:00,665,299,780,452,722,375,8.6,-29.16,-2.68,0.9
face_IITDelhi_2_52,IIT Delhi,2,right,happy,0.99,2024-12-29 10:56:00,520,381,662,506,591,443,-1.89,-10.3,-4.73,0.97
face_IITDelhi_2_53,IIT Delhi,2,right,neutral,0.93,2024-12-29 12:15:00,395,172,530,310,462,241,-2.6,4.02,-7.59,0.9
face_IITDelhi_2_54,IIT Delhi,2,left,happy,0.99,2024-12-29 10:49:00,528,134,667,263,597,198,-12.09,24.23,-3.75,0.94
face_IITDelhi_2_55,IIT Delhi,2,right,happy,0.9,2024-12-29 11:55:00,340,356,466,515,403,435,19.29,23.11,-3.02,0.93
face_IITDelhi_2_56,IIT Delhi,2,left,happy,0.97,2024-12-29 11:11:00,363,300,471,435,417,367,-5.56,-19.68,0.07,0.92
face_IITDelhi_2_57,IIT Delhi,2,right,neutral,0.94,2024-12-29 10:50:00,527,143,672,287,599,215,2.37,-12.49,2.61,0.93
face_IITDelhi_2_58,IIT Delhi,2,center,neutral,0.98,2024-12-29 11:59:00,324,187,452,323,388,255,-12.33,-26.43,2.12,0.96
face_IITDelhi_2_59,IIT Delhi,2,left,happy,0.98,2024-12-29 11:08:00,428,140,568,262,498,201,19.2,1.57,-7.5,0.97
face_IITDelhi_2_60,IIT Delhi,2,right,sad,0.93,2024-12-29 12:03:00,644,334,755,457,699,395,-5.26,10.04,-6.1,0.94
face_IITDelhi_2_61,IIT Delhi,2,center,neutral,0.93,2024-12-29 12:02:00,573,111,707,264,640,187,3.53,6.28,-3.01,0.94
face_IITDelhi_2_62,IIT Delhi,2,center,surprise,0.97,2024-12-29 11:58:00,660,202,770,362,715,282,1.18,-4.35,-0.06,0.93
face_IITDelhi_2_63,IIT Delhi,2,center,disgust,0.98,2024-12-29 11:43:00,794,294,903,440,848,367,-6.93,-22.51,1.42,0.93
face_IITDelhi_2_64,IIT Delhi,2,center,surprise,0.93,2024-12-29 11:18:00,145,245,285,381,215,313,-0.04,-0.13,-0.89,0.93
face_IITDelhi_2_65,IIT Delhi,2,right,neutral,0.93,2024-12-29 11:21:00,490,202,634,325,562,263,2.34,8.03,-7.92,0.96
